,comment,date
86,"I've been waiting to read this, my husband is 6ft6 as well xD I'm 5ft7 wondering how many relatable bits will be here xD","Aug 12, 2020"
87,your art style has changed since the 1st stip but I'll always love your art and follow you❤❤❤❤,"Aug 11, 2020"
88,"im 13 and Im 6'1, when I am fully grown Im supposed to be 6'9 lol","Aug 11, 2020"
89,Damn hes taller than me. ,"Aug 10, 2020"
90,Wow I came back to read the first episode bc im on the current one and dang is the art style different,"Jul 31, 2020"
91,😭😭 Im only 5'3. But on the bright side im taller than the average girl from where i am from.,"Jul 31, 2020"
92,"5'7 a҉n҉d҉ a҉ s҉i҉n҉g҉l҉e҉ p҉r҉i҉n҉g҉l҉e҉, i҉ a҉m҉. W҉h҉o҉ k҉n҉o҉w҉s҉ h҉o҉w҉ l҉o҉n҉g҉ i҉ h҉a҉v҉e҉ u҉n҉t҉i҉l҉ i҉ g҉e҉t҉ a҉ r҉e҉l҉a҉t҉i҉o҉n҉s҉h҉i҉p҉","Jul 28, 2020"
93,lomlsl,"Jul 27, 2020"
94,"I'm 5 foot 5 1/2, almost 5 foot 6. And I don't have a boyfriend(at least not yet😏) *sigh* just 4 more years until I can start dating... *SiGh* *SIGH*","Jul 27, 2020"
95,wow her art style really changed,"Jul 26, 2020"
96,Story of my life! My boyfriend is 6’ 3” and I’m just over 5’. 😂,"Jul 24, 2020"
97,Here I go! Let's do this. Looks like this manhwa is gonna be so wholesome. 😊,"Jul 24, 2020"
98,Broo When i was 6 i used to read this now i forgot what page it was so yeah imma re-read it...,"Jul 23, 2020"
99,If you're just starting.. remember to read author's footnotes too! I came back for that,"Jul 23, 2020"
100,was i the only one that thought that this was short Btw shes so short,"Jul 22, 2020"
101,In AsIaN tErMs I’m NoT sHoRt At AlL! Yes keep dreaming honey,"Jul 20, 2020"
102,I’ve got a a lot of reading to do I just say how long this series is I CANT WAITTTT,"Jul 20, 2020"
103,she's 5'2 and he's 6'6 damn that's a height difference if I've seen one ,"Jul 17, 2020"
104,"ok ok, so I got a webtoon update saying ""time to read giant nerd boyfriend again"" but the thing is that I have never read this in my life🤦‍♀️ WHY NOT UPDATE ME WHEN BLUE CHAIR UPDATES HU HU WEBTOON!","Jul 17, 2020"
105,damn bOi he tall damn boI (;´༎ຶٹ༎ຶ`),"Jul 15, 2020"
106,me too,"Jul 15, 2020"
107,I would want my bf to be taller than me;-;,"Jul 14, 2020"
108,I speechless,"Jul 13, 2020"
109,you're style changed a bit,"Jul 12, 2020"
110,He is very tall,"Jul 10, 2020"
111,"my step mom is 5’3” and my dad is 6’8” so when i showed this to them, they got a good ole laugh out of it| (• ◡•)|","Jul 9, 2020"
112,My sisters husband is 6ft 10Inches,"Jul 9, 2020"
113,"lol this is just like my life. my guy is a foot taller than me and I am 5'4"".","Jul 8, 2020"
114,Time to read this so wish me luck guys,"Jul 6, 2020"
115,me being crazy tall,"Jul 4, 2020"
116,"Hey, sounds great! He can reach tall shelves!","Jul 3, 2020"
117,This man really pulled a stardust crusaders,"Jul 3, 2020"
118,"We filipinos (also asian people) have a food called fishball, I bet there is in another countries in asia too but it's just got my attention lol HAHAHAHA","Jul 1, 2020"
119,"I am f#cing 5,40 cm","Jul 1, 2020"
120,im new and i dont know ANYTHING about this ;-;,"Jun 30, 2020"
121,true true,"Jun 29, 2020"
122,"For me it would be, MY TINY NERD BOYFRIEND.he so short LOL I like 3 inches taller than him.","Jun 29, 2020"
123,I know right ,"Jun 26, 2020"
124,"Fishball i know how u feel, me and my boyfriend are exactly the same size as u two XD When my Girlfriends saw him the first time they couldn´t stop laughing, but because they found that so cute XD and okay... i admit it looks a bit funny as well XD  In Germany i am really small for a woman, but my boyfriend is also very tall for German Men.","Jun 23, 2020"
125,I’m getting Asahi Azumane vibes here-,"Jun 22, 2020"
126,so your 5.2,"Jun 20, 2020"
127,And I love this series already,"Jun 19, 2020"
128,Dude he is talllllllllllllll,"Jun 18, 2020"
129,The art style is nice 💟,"Jun 17, 2020"
130,*The backyardagains song plays* WERE BACK YOUR FRIENDS THE BACKYARDAGAINS.....Pffft HAHAHAHAHAHA,"Jun 17, 2020"
131,I am really short then😢,"Jun 17, 2020"
132,I’m not Asian but I’m very short. Love this comic. ,"Jun 15, 2020"
133,Reread time~ love it!,"Jun 14, 2020"
134,"the art looks slightly different from now. proud of your improvement, fishball! ","Jun 14, 2020"
135,is it bad that im 6'8 and fish ball is 6'6 XD,"Jun 13, 2020"
136,"I'm 2 cm smaller than fishball :,c","Jun 12, 2020"
137,omg same i need to get taller.... DO NOT JUDGE ME OKAY,"Jun 12, 2020"
138,nice,"Jun 10, 2020"
139,t-this art..reminds me of something fufu,"Jun 10, 2020"
140,FOOD,"Jun 8, 2020"
141,i like this :),"Jun 8, 2020"
142,This is adorable 😢 I absolutely love your art style!!,"Jun 8, 2020"
143,Hi ,"Jun 8, 2020"
144,😆,"Jun 7, 2020"
145,LOOK AT YOURSELF! Reading a comic that's over 3 years old.... but it is rly good,"Jun 4, 2020"
146,My god I forgot how different the art style was back then. Funny how things change.,"Jun 3, 2020"
147,"ya that's me. I'm 201 cm. (6'7"") my gf is really short. like 2 feet shorter. (4'11"") it's fucking crazy my guys.  ","Jun 1, 2020"
148,Lol he’s 6’6 lol reminds me of my ex. He was 6’7 in high school and I was 5’5 we made it to the year book and everything because of our height differences. Now he’s in Japan playing pro ball. Cutest white boy ever.,"Jun 1, 2020"
149,I'm 1 cm more than him how about that fishylol,"Jun 1, 2020"
150,IM JUST AS TALL AS U GF,"May 30, 2020"
151,hey this guy is same as my dad about 6'6 😁,"May 29, 2020"
152,my boyfriend is the shortest out if his family and he is 190cm tall... i feel like a minion at familyevents. xD i am 168cm tall.,"May 29, 2020"
153,he can be in haikyuu,"May 28, 2020"
154,Rereading in 2020 bc this comic never gets old nor loses its comedy ♥️,"May 28, 2020"
155,𝐰𝐡𝐚𝐭 𝐭𝐡𝐞 𝐟𝐮𝐝𝐠𝐞,"May 27, 2020"
156,i m 1.50 o m shortest😂😂😂,"May 16, 2020"
157,lol I'm 1.52cm I'm shorter than her,"May 15, 2020"
158,"Not to creep u out but, Is He SLeNdEr MaN?!? gOSh HEs TaLl!","May 15, 2020"
159,Why the hell is her name “Fishball” 😂😂😂,"May 13, 2020"
160,I bet her 😺 hurt,"May 12, 2020"
161,Bruh he’s a fokin jojo character about 195cm gis stando Powa is different series it’s how he can survive in this comic universe :0,"May 12, 2020"
162,"i feel very short even tho im 163cm, am i short?","May 12, 2020"
163,I feel ya girl my brother is like 6.6 too,"May 11, 2020"
164,"no, im not a new subscriber. i came to re-read this masterpiece from part 1 & bcs i love MGNB so much. periodT😤","May 11, 2020"
165,"This has been in my ""Have to Read"" section for a while, now that I'm reading it... makes me relate to this because I'm 5'4"" and my boyfriend is 5'7""😂","May 10, 2020"
166,"relendo isso pela ""insira um número aqui"" vez nessa quarentena","May 9, 2020"
167,that Was short,"May 6, 2020"
168,Damn...i can't stop reading your comics over and over. You really make our day. Never stop drawing your life! I am an artist too! Soo I have a question. I don't know how to become a creature on webtoon...can you show me how?? ,"May 6, 2020"
169,dangggg.... i misfocused on her boobs. that is sooooo weird but funny. i laughed 'till my stomach hurts.,"May 5, 2020"
170,"It dumb, I’m 157 cm and I’m considered extremely very short.","May 4, 2020"
171,i m 1.50 o m shortest😂😂😂,"May 16, 2020"
172,lol I'm 1.52cm I'm shorter than her,"May 15, 2020"
173,"Not to creep u out but, Is He SLeNdEr MaN?!? gOSh HEs TaLl!","May 15, 2020"
174,Why the hell is her name “Fishball” 😂😂😂,"May 13, 2020"
175,I bet her 😺 hurt,"May 12, 2020"
176,Bruh he’s a fokin jojo character about 195cm gis stando Powa is different series it’s how he can survive in this comic universe :0,"May 12, 2020"
177,"i feel very short even tho im 163cm, am i short?","May 12, 2020"
178,I feel ya girl my brother is like 6.6 too,"May 11, 2020"
179,"no, im not a new subscriber. i came to re-read this masterpiece from part 1 & bcs i love MGNB so much. periodT😤","May 11, 2020"
180,"This has been in my ""Have to Read"" section for a while, now that I'm reading it... makes me relate to this because I'm 5'4"" and my boyfriend is 5'7""😂","May 10, 2020"
181,"relendo isso pela ""insira um número aqui"" vez nessa quarentena","May 9, 2020"
182,that Was short,"May 6, 2020"
183,Damn...i can't stop reading your comics over and over. You really make our day. Never stop drawing your life! I am an artist too! Soo I have a question. I don't know how to become a creature on webtoon...can you show me how?? ,"May 6, 2020"
184,dangggg.... i misfocused on her boobs. that is sooooo weird but funny. i laughed 'till my stomach hurts.,"May 5, 2020"
185,"It dumb, I’m 157 cm and I’m considered extremely very short.","May 4, 2020"
186,Dodger and Sam,"May 3, 2020"
187,So I’m in the middle of doing homework (this is my first time here) and by the feel of this I can tell this is going to make me miss my boyfriend even more during quarantine :( ,"May 1, 2020"
188,I hope this is good ,"May 1, 2020"
189,Bro u damn tall people im only 147CM!!!,"Apr 30, 2020"
190,i am like 168 cm as a girl oof-,"Apr 30, 2020"
191,laughs in goliath size,"Apr 30, 2020"
192,"Dang, what an art improvement ","Apr 29, 2020"
193,I’m in love 🥰 ,"Apr 29, 2020"
194,im looking back and damn,"Apr 28, 2020"
195,I mean my dad is 6’3 I think,"Apr 26, 2020"
196,I'm 6'8 and my girlfriend is about 5'6,"Apr 26, 2020"
197,"I'm 4'10 and boy boyfriend is 6'4, I understand the feeling TwT","Apr 26, 2020"
198,I love this lol￼,"Apr 24, 2020"
199,it's frickin fishball... whyy,"Apr 24, 2020"
200,my mans stands taller than Jonathan from jojo's  (who is 195 cm),"Apr 23, 2020"
201,Hi,"Apr 23, 2020"
202,Dang... I'm almost taller than you..... DANG,"Apr 17, 2020"
203,Me: We all know where this series is gonna go wild....    My mind: OMG OMG OMG TIS IS GOING TO BE SO FUNNY,"Apr 17, 2020"
204,Oof girl I know how you feel my boyfriend is 5’10 and am 5’6 it’s super annoying 😑,"Apr 16, 2020"
205,Huh my sister has a boyfriend who is 2m,"Apr 14, 2020"
206,U r taller than me ,"Apr 14, 2020"
207,whuoooo 😮😮😮,"Apr 13, 2020"
208,# relationship goals ❤❤,"Apr 13, 2020"
209,"Well at school, Im still the tallest among all my friends. 😎","Apr 13, 2020"
210,I remember seeing this art on YouTube then I saw it here and I was like WOAH 🤩,"Apr 13, 2020"
211,. ,"Apr 12, 2020"
212,cool,"Apr 12, 2020"
213,2020 anyone,"Apr 12, 2020"
214,its kinda annoying cuz its not in mangatoon style,"Apr 12, 2020"
215,I love this seiries litarally obsessed,"Apr 10, 2020"
216,"fishball-chan, you're 158, i'm 164, you're on asian standard, but i think you've grown in every way since this pilot","Apr 10, 2020"
217,him:199 cmme:189 cmalso me:close enough😎,"Apr 9, 2020"
218,"Bruh I’m 4,10 and my bf is 5,7.....","Apr 9, 2020"
219,"I'm 1,57....my boyfriend 1,94....","Apr 8, 2020"
220,How I met your dad: climbing a beanstock :),"Apr 7, 2020"
221,I’m in love with this already🥰,"Apr 7, 2020"
222,My boyfriend is the same height as yours! I am 5 foot even and I rather enjoy having a tree 🤣🤣🤣,"Apr 6, 2020"
223,porque coñ$#  esta en ingles :U,"Apr 6, 2020"
224,"Looking back on this first episode.............. The art style is kinda different, the characters are different, YAY DEVELOPMENT AND ADVANCING","Apr 5, 2020"
225,"I know I'm rly behind and don't hate on me, but what's discover?? can someone tell me?","Apr 3, 2020"
226,Halifax is stupid I want him dead ,"Apr 2, 2020"
227,"bruh he's so big I'm like 4,3","Apr 2, 2020"
228,"im 5'0 tall at age 17, im Siclian btw (im so sorry ik no one cares)","Apr 1, 2020"
229,lol im 176 I'm 12 shes 158 (omg she's a smol precious bean😭😭😭😭),"Apr 1, 2020"
230,i'm rereading this in quarantine haha,"Apr 1, 2020"
231,Isn’t 158 actually quite short even for Asian standards ?,"Apr 1, 2020"
232,"🙋I'm Asian too btw I'm 5'4'' and I'm just a 2nd year high school student my classmates are 5'1"" to 5'6"" ","Mar 27, 2020"
233,I feel sad now bc America will basically use everything we possibly can to measure things EXCEPT THE FLIPPING METRIC SYSTEM SO THANKS TO ALL THOSE THAT TOLD US AMERICANS WHAT THE 199 CM MEANS! Aghsjajsus djahsuajja my heart can’t deal with this overload of cuteness per day don’t if I can keep it up much longer sjahsuand sishdua absnan ,"Mar 26, 2020"
234,she's flipping 158??? YOU KNOW MY PAINNNN(T_T)(T_T)(T_T)(T_T) I don't even have the excuse of being asian.,"Mar 25, 2020"
235,"the girlfriend isn't really short, but OMG the boyfriend he's TALL","Mar 24, 2020"
236,"Hey! There is a really cool discord server filled with people who love webtoon!!! We would love to have you there. We talk about many different webtoons. It’s really fun, so please join. :) https://discord.gg/7Fxhknn","Mar 22, 2020"
237,"He's tall.. My mom is full grown and 5'6""My dad is ful grown too and 5'11"" SUPER TALL","Mar 22, 2020"
238,currently binging MGNB cuz i’m quarantined 😆,"Mar 20, 2020"
239,they look SOOOO different..,"Mar 17, 2020"
240,"Saw this somewhere (another platform), and found it adorable. now i can finally read it!! yayyyyyy!!!!!","Mar 15, 2020"
241,Uh ok?,"Mar 15, 2020"
242,"lol!! I'm 5'4"" and my husband is a giant (6'8"") nerd too! I'm going to love this!!","Mar 8, 2020"
243,wtf,"Mar 8, 2020"
244,"My big brother is 7'0"". ","Mar 6, 2020"
245,"cute comic, am I also the only one who noticed that he got taller.... ^>^","Mar 5, 2020"
246,"Did anybody notice his hight changed, it went from 178 cm to 199 cm     EDIT: height","Feb 29, 2020"
247,"sooo that means fishball is 5,1","Feb 26, 2020"
248,"i'm 151 cm, thanks for your attencion.","Feb 26, 2020"
249,"This is my sixth time reading this comic , i dunno, i read all chapters and i still enjoy it (maybe i just can't remember well? XD) ","Feb 24, 2020"
250,my boyfriend is so tall too and cute....❤,"Feb 24, 2020"
251,He looks kind of like Markiplier ,"Feb 20, 2020"
252,I gave in to the temptation of reading this,"Feb 19, 2020"
253,Dude... that’s how tall me and my boyfriend are...,"Feb 18, 2020"
254,She’s 5’2 and he’s 6’6. Interesting relationship,"Feb 17, 2020"
255,I’m 5’4 ...CLAIM!!🥔,"Feb 16, 2020"
256,she's 5'2...she's taller than me ,"Feb 15, 2020"
257,"I had to reset my account, I wanted a new start","Feb 15, 2020"
258,this is the webtoon that introduced me to webtoon,"Feb 11, 2020"
259,are you a Filipino ? hehe💜,"Feb 10, 2020"
260,well... as an Asian I'm 4'11 and my husband is 6'1 I feel this 😬😬,"Feb 7, 2020"
261,Anyone else reading this is 2020? reply if you are!,"Feb 5, 2020"
262,I'm 5'3 and the hubs is 6'6. I'm here to feel seen. lol,"Feb 3, 2020"
263,my sis is 5'3 and her boyfriend is 6'5 so...,"Feb 2, 2020"
264,Hehehehe her face though XD!!!,"Feb 1, 2020"
265,I am 5'2 and my boyfriend is 6'8,"Jan 31, 2020"
266,I’m not exactly cookie cutter for centimeters but I’m 5ft4ins so being short to your boyfriend is not a joke my boyfriend is 6ft ,"Jan 31, 2020"
267,I'm asian,"Jan 30, 2020"
268,"I am as tall as her,but my mom said you have to tell others that you are 160cm🙂","Jan 29, 2020"
269,i am 4'11 and dying,"Jan 27, 2020"
270,he is taller then tall girl I REPEAT TALLER THAN TALL GAL,"Jan 25, 2020"
271,I got an add for a ladder XD,"Jan 23, 2020"
272,it's kind of cute though,"Jan 20, 2020"
273,"lmao, yeah I'm an asian with 150cm height. my singaporean friend is friggin 161cm and he called me armrest ","Jan 19, 2020"
274,Asians...are quite short.My mom’s friend thought I was 14 even thought I’m not even 13.How do I know? I’m Asian ,"Jan 19, 2020"
275,I know how you feel on Asian standards I’m regular but everyone else is taller than me TwT ,"Jan 19, 2020"
276,heh Asian standards I'm Korean American and I am shorter than average in America standards but not Asian so um I'm short and I'm proud,"Jan 19, 2020"
277,"The good thing is, you get to have all his hoodies","Jan 18, 2020"
278,I knew I wasn’t short. My friends called me twink all the time.,"Jan 12, 2020"
279,so I'm just now popping up and holy crap there are a lot of epidodes 😍,"Jan 11, 2020"
280,I'm 5'2 feet as well... I have to climb on my counter and kneel on it to reach the top shelf... ,"Jan 9, 2020"
281,My girlfriend is like a head shorter than meh,"Jan 9, 2020"
282,in Asian standards 5'2 is short... ,"Jan 8, 2020"
283,I feel you sis...,"Jan 8, 2020"
284,hey that guys the same height as me 😂,"Jan 6, 2020"
285,-,-
286,I came because it was in one of the ads before getting webtoon😅,"Dec 30, 2019"
287,"my cousin is 5""8","Dec 29, 2019"
288,"Re-reading this.❤...Best thing that happened to me in the past 2 years. Dear author, thank you for everything.❤🙂","Dec 29, 2019"
289,"She’s around 5’2, he’s around 6’6. Wowee","Dec 28, 2019"
290,My husband is 198.12 and I’m 149.86 cm ,"Dec 27, 2019"
291,I decided to reread this to compare the art style and reminisce about former stories~ It's always fun to see the improvement.,"Dec 27, 2019"
292,Big off girl my boyfriend is 5’10 and am 5’6 so yah he’s taller then meh T3T ,"Dec 25, 2019"
293,-,-
294,"I'm 6'1"" :))","Dec 19, 2019"
295,why does he have boobies,"Dec 19, 2019"
296,"Kek, thank you","Dec 18, 2019"
297,my brother is 6ft7,"Dec 16, 2019"
298,I'm Malaysianand I'm 12 my height is just 162cm,"Dec 13, 2019"
299,Malaysian yeaaaaaaaaaahhhhhhhhhhh im malaysian too,"Dec 13, 2019"
300,Hello! Just bought sexy underwear with anime style. Wanna see? Visit the site - www.xxfast.info and find me by nickname Marianna99w.,"Dec 13, 2019"
301,Hi! Just bought sexy underwear with anime style. Wanna see? Visit the site - www.xxfast.info and find me by nickname Marianna92o.,"Dec 13, 2019"
302,Hello! Just bought sexy underwear with anime style. Wanna see? Visit the site - www.xxfast.info and find me by nickname Marianna95v.,"Dec 13, 2019"
303,Hey! Just bought sexy underwear with anime style. Wanna see? Visit the site - www.xxfast.info and find me by nickname Marianna97x.,"Dec 13, 2019"
304,nice,"Dec 12, 2019"
305,WOW!!! MY NUDES IN ANIME STYLE HERE www.hot1girl.site (id - michelle43) FREE!,"Dec 8, 2019"
306,“It’s just him being crazy tall” 😂,"Nov 15, 2019"
307,fa       gget,"Nov 13, 2019"
308,***get,"Nov 13, 2019"
309,Oh my gosh literally me and my boyfriend. exact same height aswell as fishball. and same race X'D,"Nov 13, 2019"
310,just a blank smiling staire☺,"Nov 12, 2019"
311,☺,"Nov 12, 2019"
312,I can relate. My boyfriend is 6’8,"Nov 8, 2019"
313,Your boyfriend kinda looks like lida from my hero academia (kinda),"Nov 8, 2019"
314,I think this happens in real life alor but no one knows it,"Nov 5, 2019"
315,"Hah, Im ten and am 4’4-.. One of the shortest people in class ._.","Oct 30, 2019"
316,I come from 2 years in da futureeeee,"Oct 30, 2019"
317,1cm taller would make him as tall as seo jang hoon lmaooo ,"Oct 27, 2019"
318,"as a 5 ft woman that dated a 6'6 man, I cannot wait to read this and relate to it 8000%","Oct 23, 2019"
319,and soon a legend begins,"Oct 22, 2019"
320,that's too tall. you'd never find a guy like him here in Japan and China😂,"Oct 21, 2019"
321,“It’s just him being crazy tall” 😂,"Nov 15, 2019"
322,fa       gget,"Nov 13, 2019"
323,***get,"Nov 13, 2019"
324,Oh my gosh literally me and my boyfriend. exact same height aswell as fishball. and same race X'D,"Nov 13, 2019"
325,just a blank smiling staire☺,"Nov 12, 2019"
326,☺,"Nov 12, 2019"
327,I can relate. My boyfriend is 6’8,"Nov 8, 2019"
328,Your boyfriend kinda looks like lida from my hero academia (kinda),"Nov 8, 2019"
329,I think this happens in real life alor but no one knows it,"Nov 5, 2019"
330,"Hah, Im ten and am 4’4-.. One of the shortest people in class ._.","Oct 30, 2019"
331,I come from 2 years in da futureeeee,"Oct 30, 2019"
332,1cm taller would make him as tall as seo jang hoon lmaooo ,"Oct 27, 2019"
333,"as a 5 ft woman that dated a 6'6 man, I cannot wait to read this and relate to it 8000%","Oct 23, 2019"
334,and soon a legend begins,"Oct 22, 2019"
335,that's too tall. you'd never find a guy like him here in Japan and China😂,"Oct 21, 2019"
336,I'm duration and I'm really tall(It's because of my English side)I LOVE MALAYSIA!!!!!,"Oct 12, 2019"
337,i love it already even though this is only like 10 words,"Oct 12, 2019"
338,This.. I LOVE THIS ALREADY,"Oct 12, 2019"
339,this is how my girlfriend probably sees me,"Oct 11, 2019"
340,Expectations: Thinking you’re the tallest person ever  Reality: Realizing your like 5’9 and you’re the shortest person TT^TT,"Oct 10, 2019"
341,I have this strong gut feeling that Fishball is a Filipino... ,"Oct 7, 2019"
342,Bro so you see her bobs😂,"Oct 6, 2019"
343,hi guys,"Oct 4, 2019"
344,Malaysian here!! ,"Oct 3, 2019"
345,Yaallah ngakak hamba 🤣,"Oct 3, 2019"
346,Not only trying to be rude but...... Why the hell would your name be fishbowl????? BTW your boyfriend is like 199x100ft tall. Like goddamn. ,"Oct 2, 2019"
347,"metric system ftw, screw the ppl complaining about it","Sep 29, 2019"
348,I feel yah my boyfriend is 3 inches taller then me and it’s really annoying but I still love him ,"Sep 29, 2019"
349,too tall,"Sep 27, 2019"
350,Why is this comic bigger than I Love Yoo? No. Not okay. I will not accept this.,"Sep 27, 2019"
351,honestly same my bf is 6'3 amd I'm 5'4 not as much as a difference but still,"Sep 24, 2019"
352,I am Asian and from South India. I shall read this Webtoon,"Sep 23, 2019"
353,Me in a nutshell ,"Sep 19, 2019"
354,Omg I’m rereading the art’s soooo different! ,"Sep 16, 2019"
355,OMG I know it's been a couple years since this comic strip started but I just found it and I love it! my hubby is 6'6 and Im 5'2 so this is SOOOO relatable? ,"Sep 15, 2019"
356,"Omg he's taller than my dad who is 6""3' 🤣🤣🤣🤣🤣","Sep 10, 2019"
